from	to
AR	EP300
AR	MYC
AR	SMAD1
AR	SMAD3
AR	STAT3
BMP2	AR
BMP2	EP300
BMP2	MAP3K7
BMP2	MAPK8
BMP2	MYC
BMP2	SMAD1
BMP2	SMAD3
EP300	AR
EP300	MAPK8
EP300	MYC
EP300	SMAD1
EP300	SMAD3
EP300	STAT3
MAP3K7	MAPK8
MAP3K7	MYC
MAP3K7	SMAD1
MAP3K7	SMAD3
MAP3K7	STAT3
MAPK8	AR
MAPK8	EP300
MAPK8	MAP3K7
MAPK8	MYC
MAPK8	SMAD1
MAPK8	SMAD3
MAPK8	STAT3
MYC	AR
MYC	EP300
MYC	MAP3K7
MYC	SMAD3
SMAD1	AR
SMAD1	EP300
SMAD1	SMAD3
SMAD1	STAT3
SMAD3	AR
SMAD3	EP300
SMAD3	MYC
SMAD3	SMAD1
SMAD3	STAT3
STAT3	AR
STAT3	EP300
STAT3	MAP3K7
STAT3	MAPK8
STAT3	MYC
STAT3	SMAD1
STAT3	SMAD3
AR	ANGPTL2
BMP2	ANGPTL2
EP300	ANGPTL2
MYC	ANGPTL2
SMAD3	ANGPTL2
STAT3	ANGPTL2
