from	to
ACVR1	MAP3K7
ACVR1	STAT1
BMP2	ACVR1
BMP2	FOS
BMP2	MAP3K7
BMP2	MAPK14
BMP2	MAPK8
BMP2	MYC
BMP2	NFKB1
BMP2	RELA
BMP2	STAT1
BMP2	TP53
CHUK	MAP3K7
CHUK	MYC
CHUK	NFKB1
CHUK	RELA
CHUK	STAT1
CHUK	TP53
FOS	MYC
FOS	NFKB1
FOS	STAT1
FOS	TP53
MAP3K7	CHUK
MAP3K7	FOS
MAP3K7	MAPK14
MAP3K7	MAPK8
MAP3K7	MYC
MAP3K7	NFKB1
MAP3K7	RELA
MAP3K7	STAT1
MAPK14	CHUK
MAPK14	FOS
MAPK14	MAP3K7
MAPK14	MAPK8
MAPK14	MYC
MAPK14	NFKB1
MAPK14	RELA
MAPK14	STAT1
MAPK14	TP53
MAPK8	FOS
MAPK8	MAP3K7
MAPK8	MAPK14
MAPK8	MYC
MAPK8	RELA
MAPK8	STAT1
MAPK8	TP53
MYC	FOS
MYC	MAP3K7
MYC	NFKB1
MYC	RELA
MYC	TP53
NFKB1	CHUK
NFKB1	FOS
NFKB1	MAPK8
NFKB1	MYC
NFKB1	RELA
NFKB1	STAT1
NFKB1	TP53
RELA	FOS
RELA	MYC
RELA	NFKB1
RELA	TP53
STAT1	FOS
STAT1	MAPK14
STAT1	MYC
STAT1	RELA
TP53	MAPK14
TP53	MAPK8
TP53	NFKB1
TP53	RELA
TP53	STAT1
FOS	CD40LG
MYC	CD40LG
NFKB1	CD40LG
RELA	CD40LG
STAT1	CD40LG
TP53	CD40LG
