from	to
ACVR1	MAP3K7
ACVR1	SMAD1
ACVR1	STAT1
BMP2	ACVR1
BMP2	EP300
BMP2	ESR1
BMP2	MAP3K7
BMP2	MAPK8
BMP2	RELA
BMP2	SMAD1
BMP2	SP1
BMP2	STAT1
BMP2	TP53
CHUK	EP300
CHUK	ESR1
CHUK	MAP3K7
CHUK	RELA
CHUK	STAT1
CHUK	TP53
EP300	CHUK
EP300	ESR1
EP300	MAPK8
EP300	RELA
EP300	SMAD1
EP300	SP1
EP300	TP53
ESR1	EP300
ESR1	RELA
ESR1	SMAD1
ESR1	SP1
ESR1	STAT1
ESR1	TP53
MAP3K7	CHUK
MAP3K7	MAPK8
MAP3K7	RELA
MAP3K7	SMAD1
MAP3K7	STAT1
MAPK8	EP300
MAPK8	ESR1
MAPK8	MAP3K7
MAPK8	RELA
MAPK8	SMAD1
MAPK8	SP1
MAPK8	STAT1
MAPK8	TP53
RELA	EP300
RELA	SP1
RELA	TP53
SMAD1	EP300
SMAD1	ESR1
SMAD1	TP53
SP1	EP300
SP1	ESR1
SP1	STAT1
SP1	TP53
STAT1	EP300
STAT1	ESR1
STAT1	RELA
STAT1	SP1
TP53	EP300
TP53	ESR1
TP53	MAPK8
TP53	RELA
TP53	SMAD1
TP53	SP1
TP53	STAT1
EP300	GDF5
ESR1	GDF5
RELA	GDF5
SP1	GDF5
STAT1	GDF5
TP53	GDF5
