from	to
ACVR1	MAP3K7
ACVR1	SMAD1
ACVR1	STAT1
BMP2	ACVR1
BMP2	ID1
BMP2	MAP3K7
BMP2	MAPK14
BMP2	MAPK8
BMP2	RELA
BMP2	SMAD1
BMP2	STAT1
BMP2	TP53
CHUK	MAP3K7
CHUK	RELA
CHUK	STAT1
CHUK	TP53
HIPK2	MAP3K7
HIPK2	RUNX1
HIPK2	SMAD1
HIPK2	TP53
ID1	TP53
MAP3K7	CHUK
MAP3K7	HIPK2
MAP3K7	MAPK14
MAP3K7	MAPK8
MAP3K7	RELA
MAP3K7	SMAD1
MAP3K7	STAT1
MAPK14	CHUK
MAPK14	MAP3K7
MAPK14	MAPK8
MAPK14	RELA
MAPK14	RUNX1
MAPK14	SMAD1
MAPK14	STAT1
MAPK14	TP53
MAPK8	MAP3K7
MAPK8	MAPK14
MAPK8	RELA
MAPK8	RUNX1
MAPK8	SMAD1
MAPK8	STAT1
MAPK8	TP53
RELA	RUNX1
RELA	TP53
RUNX1	MAPK8
RUNX1	RELA
RUNX1	SMAD1
RUNX1	TP53
SMAD1	ID1
SMAD1	RUNX1
SMAD1	TP53
STAT1	MAPK14
STAT1	RELA
TP53	HIPK2
TP53	ID1
TP53	MAPK14
TP53	MAPK8
TP53	RELA
TP53	RUNX1
TP53	SMAD1
TP53	STAT1
ID1	IFNA7
MAPK14	IFNA7
RELA	IFNA7
RUNX1	IFNA7
STAT1	IFNA7
TP53	IFNA7
