from	to
ACVR1	MAP3K7
ACVR1	STAT1
BMP2	ACVR1
BMP2	CTNNB1
BMP2	FOXO1
BMP2	MAP3K7
BMP2	MAPK8
BMP2	MYC
BMP2	RELA
BMP2	SP1
BMP2	STAT1
CHUK	CTNNB1
CHUK	MAP3K7
CHUK	MYC
CHUK	RELA
CHUK	STAT1
CTNNB1	FOXO1
CTNNB1	MYC
CTNNB1	RELA
CTNNB1	SP1
CTNNB1	STAT1
FOXO1	RELA
FOXO1	STAT1
MAP3K7	CHUK
MAP3K7	MAPK8
MAP3K7	MYC
MAP3K7	NLK
MAP3K7	RELA
MAP3K7	STAT1
MAPK8	CTNNB1
MAPK8	FOXO1
MAPK8	MAP3K7
MAPK8	MYC
MAPK8	RELA
MAPK8	SP1
MAPK8	STAT1
MYC	MAP3K7
MYC	RELA
MYC	SP1
NLK	CTNNB1
NLK	FOXO1
NLK	MYC
NLK	STAT1
RELA	CTNNB1
RELA	FOXO1
RELA	MYC
RELA	SP1
SP1	CTNNB1
SP1	MYC
SP1	STAT1
STAT1	CTNNB1
STAT1	FOXO1
STAT1	MYC
STAT1	RELA
STAT1	SP1
CTNNB1	PDGFA
FOXO1	PDGFA
MYC	PDGFA
RELA	PDGFA
SP1	PDGFA
STAT1	PDGFA
