from	to
AKT1	CHUK
AKT1	CTNNB1
AKT1	MAPK8
AKT1	MYC
AKT1	SMAD2
AKT1	SMAD3
BMP4	AKT1
BMP4	BMPR1B
BMP4	BMPR2
BMP4	CTNNB1
BMP4	GATA4
BMP4	MAP3K7
BMP4	SMAD1
BMP4	SMAD2
BMP4	SMAD3
BMPR1B	AKT1
BMPR1B	BMPR2
BMPR1B	MAP3K7
BMPR1B	MYC
BMPR1B	SMAD1
BMPR1B	SMAD2
BMPR1B	SMAD3
BMPR2	AKT1
BMPR2	BMPR1B
BMPR2	GATA4
BMPR2	MAP3K7
BMPR2	MAPK8
BMPR2	MYC
BMPR2	SMAD1
BMPR2	SMAD2
BMPR2	SMAD3
CHUK	AKT1
CHUK	CTNNB1
CHUK	MAP3K7
CHUK	MYC
CHUK	SMAD2
CHUK	SMAD3
CTNNB1	MYC
CTNNB1	SMAD1
CTNNB1	SMAD2
CTNNB1	SMAD3
GATA4	SMAD2
GATA4	SMAD3
MAP3K7	AKT1
MAP3K7	CHUK
MAP3K7	GATA4
MAP3K7	MAPK8
MAP3K7	MYC
MAP3K7	SMAD1
MAP3K7	SMAD3
MAPK8	AKT1
MAPK8	CTNNB1
MAPK8	MAP3K7
MAPK8	MYC
MAPK8	SMAD1
MAPK8	SMAD2
MAPK8	SMAD3
MYC	BMPR1B
MYC	BMPR2
MYC	MAP3K7
MYC	SMAD2
MYC	SMAD3
SMAD1	CTNNB1
SMAD1	GATA4
SMAD1	SMAD3
SMAD2	CHUK
SMAD2	GATA4
SMAD2	MYC
SMAD2	SMAD1
SMAD2	SMAD3
SMAD3	CHUK
SMAD3	GATA4
SMAD3	MYC
SMAD3	SMAD1
SMAD3	SMAD2
AKT1	CXCL6
CTNNB1	CXCL6
GATA4	CXCL6
MYC	CXCL6
SMAD2	CXCL6
SMAD3	CXCL6
