from	to
AKT1	E2F1
AKT1	EP300
AKT1	HIF1A
AKT1	SMAD2
AKT1	SMAD3
AKT1	YBX1
BMP4	AKT1
BMP4	BMPR1B
BMP4	BMPR2
BMP4	E2F1
BMP4	EP300
BMP4	GATA4
BMP4	HIF1A
BMP4	MAP3K7
BMP4	SMAD1
BMP4	SMAD2
BMP4	SMAD3
BMP4	YBX1
BMPR1B	AKT1
BMPR1B	BMPR2
BMPR1B	MAP3K7
BMPR1B	SMAD1
BMPR1B	SMAD2
BMPR1B	SMAD3
BMPR2	AKT1
BMPR2	BMPR1B
BMPR2	GATA4
BMPR2	MAP3K7
BMPR2	SMAD1
BMPR2	SMAD2
BMPR2	SMAD3
E2F1	AKT1
E2F1	HIF1A
E2F1	SMAD1
E2F1	SMAD3
EP300	AKT1
EP300	E2F1
EP300	GATA4
EP300	HIF1A
EP300	SMAD1
EP300	SMAD2
EP300	SMAD3
EP300	YBX1
GATA4	EP300
GATA4	SMAD2
GATA4	SMAD3
HIF1A	E2F1
HIF1A	EP300
HIF1A	SMAD3
HIF1A	YBX1
MAP3K7	AKT1
MAP3K7	E2F1
MAP3K7	GATA4
MAP3K7	SMAD1
MAP3K7	SMAD3
SMAD1	E2F1
SMAD1	EP300
SMAD1	GATA4
SMAD1	SMAD3
SMAD2	EP300
SMAD2	GATA4
SMAD2	SMAD1
SMAD2	SMAD3
SMAD3	EP300
SMAD3	GATA4
SMAD3	HIF1A
SMAD3	SMAD1
SMAD3	SMAD2
SMAD3	YBX1
YBX1	EP300
YBX1	SMAD3
E2F1	HBEGF
GATA4	HBEGF
HIF1A	HBEGF
SMAD2	HBEGF
SMAD3	HBEGF
YBX1	HBEGF
