from	to
ATF2	HIF1A
ATF2	JUN
ATF2	MAPK8
ATF2	TP53
BMP4	ATF2
BMP4	EP300
BMP4	HIF1A
BMP4	MAP3K7
BMP4	SMAD1
BMP4	SMAD4
BMP4	TP53
EP300	ATF2
EP300	HIF1A
EP300	JUN
EP300	MAPK8
EP300	MYC
EP300	SMAD1
EP300	SMAD4
EP300	TP53
HIF1A	ATF2
HIF1A	EP300
HIF1A	JUN
HIF1A	MYC
HIF1A	SMAD4
HIF1A	TP53
JUN	ATF2
JUN	EP300
JUN	HIF1A
JUN	MYC
JUN	SMAD1
JUN	SMAD4
JUN	TP53
MAP3K7	ATF2
MAP3K7	MAPK8
MAP3K7	MYC
MAP3K7	SMAD1
MAPK8	ATF2
MAPK8	EP300
MAPK8	HIF1A
MAPK8	JUN
MAPK8	MAP3K7
MAPK8	MYC
MAPK8	SMAD1
MAPK8	SMAD4
MAPK8	TP53
MYC	ATF2
MYC	EP300
MYC	MAP3K7
MYC	TP53
SMAD1	ATF2
SMAD1	EP300
SMAD1	JUN
SMAD1	SMAD4
SMAD1	TP53
SMAD4	ATF2
SMAD4	EP300
SMAD4	HIF1A
SMAD4	JUN
SMAD4	MYC
SMAD4	SMAD1
SMAD4	TP53
TP53	ATF2
TP53	EP300
TP53	HIF1A
TP53	JUN
TP53	MAPK8
TP53	SMAD1
TP53	SMAD4
ATF2	IL34
HIF1A	IL34
JUN	IL34
MYC	IL34
SMAD4	IL34
TP53	IL34
