from	to
BMP4	BMPR2
BMP4	CTNNB1
BMP4	MAP3K7
BMP4	SMAD1
BMP4	SMAD4
BMPR2	MAP3K7
BMPR2	MAPK8
BMPR2	MYC
BMPR2	SMAD1
BMPR2	SMAD4
BMPR2	STAT6
CHUK	CTNNB1
CHUK	HNF4A
CHUK	MAP3K7
CHUK	MYC
CHUK	NFKB1
CHUK	STAT6
CTNNB1	HNF4A
CTNNB1	MYC
CTNNB1	NFKB1
CTNNB1	SMAD1
CTNNB1	SMAD4
HNF4A	CHUK
HNF4A	CTNNB1
HNF4A	MAP3K7
HNF4A	MYC
MAP3K7	CHUK
MAP3K7	HNF4A
MAP3K7	MAPK8
MAP3K7	MYC
MAP3K7	NFKB1
MAP3K7	SMAD1
MAP3K7	STAT6
MAPK8	CTNNB1
MAPK8	HNF4A
MAPK8	MAP3K7
MAPK8	MYC
MAPK8	SMAD1
MAPK8	SMAD4
MAPK8	STAT6
MYC	BMPR2
MYC	HNF4A
MYC	MAP3K7
MYC	NFKB1
NFKB1	CHUK
NFKB1	MAPK8
NFKB1	MYC
NFKB1	SMAD4
SMAD1	CTNNB1
SMAD1	NFKB1
SMAD1	SMAD4
SMAD4	BMPR2
SMAD4	HNF4A
SMAD4	MYC
SMAD4	NFKB1
SMAD4	SMAD1
STAT6	MYC
STAT6	NFKB1
CTNNB1	LTB
HNF4A	LTB
MYC	LTB
NFKB1	LTB
SMAD4	LTB
STAT6	LTB
