from	to
BMP4	BMPR2
BMP4	E2F1
BMP4	EP300
BMP4	HIF1A
BMP4	MAP3K7
BMP4	SMAD1
BMP4	SMAD4
BMPR2	MAP3K7
BMPR2	MAPK8
BMPR2	MYC
BMPR2	SMAD1
BMPR2	SMAD4
BMPR2	STAT3
E2F1	HIF1A
E2F1	MAPK8
E2F1	MYC
E2F1	SMAD1
E2F1	STAT3
EP300	E2F1
EP300	HIF1A
EP300	MAPK8
EP300	MYC
EP300	SMAD1
EP300	SMAD4
EP300	STAT3
HIF1A	E2F1
HIF1A	EP300
HIF1A	MYC
HIF1A	SMAD4
MAP3K7	E2F1
MAP3K7	MAPK8
MAP3K7	MYC
MAP3K7	SMAD1
MAP3K7	STAT3
MAPK8	E2F1
MAPK8	EP300
MAPK8	HIF1A
MAPK8	MAP3K7
MAPK8	MYC
MAPK8	SMAD1
MAPK8	SMAD4
MAPK8	STAT3
MYC	BMPR2
MYC	E2F1
MYC	EP300
MYC	MAP3K7
SMAD1	E2F1
SMAD1	EP300
SMAD1	SMAD4
SMAD1	STAT3
SMAD4	BMPR2
SMAD4	EP300
SMAD4	HIF1A
SMAD4	MYC
SMAD4	SMAD1
SMAD4	STAT3
STAT3	E2F1
STAT3	EP300
STAT3	HIF1A
STAT3	MAP3K7
STAT3	MAPK8
STAT3	MYC
STAT3	SMAD1
STAT3	SMAD4
BMP4	NTF4
E2F1	NTF4
HIF1A	NTF4
MYC	NTF4
SMAD4	NTF4
STAT3	NTF4
