from	to
ACVR2A	BMPR2
ACVR2A	MAP3K7
ACVR2A	SMAD1
ACVR2A	SMAD3
ACVR2A	STAT1
ACVR2A	STAT3
BMP4	ACVR2A
BMP4	BMPR2
BMP4	MAP3K7
BMP4	SMAD1
BMP4	SMAD3
BMP4	STAT1
BMPR2	ACVR2A
BMPR2	MAP3K7
BMPR2	MAPK8
BMPR2	MYC
BMPR2	SMAD1
BMPR2	SMAD3
BMPR2	STAT1
BMPR2	STAT3
MAP3K7	MAPK8
MAP3K7	MYC
MAP3K7	SMAD1
MAP3K7	SMAD3
MAP3K7	STAT1
MAP3K7	STAT3
MAPK8	MAP3K7
MAPK8	MYC
MAPK8	SMAD1
MAPK8	SMAD3
MAPK8	STAT1
MAPK8	STAT3
MYC	BMPR2
MYC	MAP3K7
MYC	SMAD3
SMAD1	SMAD3
SMAD1	STAT3
SMAD3	MYC
SMAD3	SMAD1
SMAD3	STAT3
STAT1	MYC
STAT1	STAT3
STAT3	MAP3K7
STAT3	MAPK8
STAT3	MYC
STAT3	SMAD1
STAT3	SMAD3
STAT3	STAT1
ACVR2A	TGFB1
BMP4	TGFB1
MYC	TGFB1
SMAD3	TGFB1
STAT1	TGFB1
STAT3	TGFB1
