from	to
BMP4	BMPR2
BMP4	E2F1
BMP4	EP300
BMP4	MAP3K7
BMP4	SMAD1
BMP4	STAT1
BMP4	TP53
BMPR2	MAP3K7
BMPR2	SMAD1
BMPR2	STAT1
BMPR2	STAT3
E2F1	SMAD1
E2F1	STAT1
E2F1	STAT3
E2F1	TP53
EP300	E2F1
EP300	SMAD1
EP300	STAT3
EP300	TP53
MAP3K7	E2F1
MAP3K7	SMAD1
MAP3K7	STAT1
MAP3K7	STAT3
SMAD1	E2F1
SMAD1	EP300
SMAD1	STAT3
SMAD1	TP53
STAT1	E2F1
STAT1	EP300
STAT1	STAT3
STAT3	E2F1
STAT3	EP300
STAT3	MAP3K7
STAT3	SMAD1
STAT3	STAT1
TP53	E2F1
TP53	EP300
TP53	SMAD1
TP53	STAT1
E2F1	TNFSF11
EP300	TNFSF11
SMAD1	TNFSF11
STAT1	TNFSF11
STAT3	TNFSF11
TP53	TNFSF11
