from	to
CD40	MAPK1
CD40	MAPK8
CD40	RELA
CD40	TP53
CD40LG	CD40
CD40LG	CEBPB
CD40LG	JUN
CD40LG	MAPK1
CD40LG	MAPK8
CD40LG	RELA
CD40LG	STAT1
CD40LG	TP53
CEBPB	JUN
CEBPB	STAT1
CEBPB	TP53
JUN	CEBPB
JUN	MAPK1
JUN	TP53
MAPK1	CEBPB
MAPK1	JUN
MAPK1	MAPK8
MAPK1	RELA
MAPK1	STAT1
MAPK1	TP53
MAPK8	CEBPB
MAPK8	JUN
MAPK8	MAPK1
MAPK8	RELA
MAPK8	STAT1
MAPK8	TP53
RELA	CEBPB
RELA	JUN
RELA	MAPK1
RELA	TP53
STAT1	CEBPB
STAT1	JUN
STAT1	MAPK1
STAT1	RELA
TP53	CEBPB
TP53	JUN
TP53	MAPK1
TP53	MAPK8
TP53	RELA
TP53	STAT1
CD40	ADM
CEBPB	ADM
JUN	ADM
RELA	ADM
STAT1	ADM
TP53	ADM
