from	to
AKT1	AR
AKT1	EGR1
AKT1	MAP3K14
AKT1	MAPK1
AKT1	MAPK8
AKT1	NFKB1
AKT1	RELA
AKT1	STAT3
AR	MAPK1
AR	NFKB1
AR	RELA
AR	STAT3
CD40LG	AKT1
CD40LG	EGR1
CD40LG	MAP3K14
CD40LG	MAPK1
CD40LG	MAPK8
CD40LG	NFKB1
CD40LG	RELA
CD40LG	RELB
EGR1	AR
EGR1	NFKB1
MAP3K14	AKT1
MAP3K14	MAPK1
MAP3K14	MAPK8
MAP3K14	NFKB1
MAP3K14	RELA
MAP3K14	RELB
MAP3K14	STAT3
MAPK1	AKT1
MAPK1	AR
MAPK1	EGR1
MAPK1	MAPK8
MAPK1	NFKB1
MAPK1	RELA
MAPK1	STAT3
MAPK8	AKT1
MAPK8	AR
MAPK8	EGR1
MAPK8	MAPK1
MAPK8	RELA
MAPK8	STAT3
NFKB1	AKT1
NFKB1	AR
NFKB1	EGR1
NFKB1	MAPK1
NFKB1	MAPK8
NFKB1	RELA
NFKB1	RELB
NFKB1	STAT3
RELA	AR
RELA	EGR1
RELA	MAPK1
RELA	NFKB1
RELA	RELB
RELB	NFKB1
RELB	STAT3
STAT3	AKT1
STAT3	AR
STAT3	EGR1
STAT3	MAPK1
STAT3	MAPK8
STAT3	NFKB1
STAT3	RELA
STAT3	RELB
AR	CKLF
EGR1	CKLF
NFKB1	CKLF
RELA	CKLF
RELB	CKLF
STAT3	CKLF
