from	to
CD40	JAK3
CD40	MAPK8
CD40	RELA
CD40	STAT3
CD40	TP53
CD40LG	CD40
CD40LG	JAK1
CD40LG	JAK3
CD40LG	MAPK8
CD40LG	RELA
CD40LG	TP53
CTNNB1	HIF1A
CTNNB1	RELA
CTNNB1	STAT3
CTNNB1	TP53
HIF1A	CTNNB1
HIF1A	RELA
HIF1A	TP53
JAK1	JAK3
JAK1	MAPK8
JAK1	STAT2
JAK1	STAT3
JAK3	CD40
JAK3	CTNNB1
JAK3	JAK1
JAK3	MAPK8
JAK3	STAT2
JAK3	STAT3
MAPK8	CTNNB1
MAPK8	HIF1A
MAPK8	JAK1
MAPK8	RELA
MAPK8	STAT2
MAPK8	STAT3
MAPK8	TP53
RELA	CTNNB1
RELA	TP53
STAT2	JAK1
STAT3	CTNNB1
STAT3	HIF1A
STAT3	MAPK8
STAT3	RELA
STAT3	STAT2
TP53	CTNNB1
TP53	HIF1A
TP53	MAPK8
TP53	RELA
CTNNB1	CMTM7
HIF1A	CMTM7
RELA	CMTM7
STAT2	CMTM7
STAT3	CMTM7
TP53	CMTM7
