from	to
CD40LG	EGR1
CD40LG	JUN
CD40LG	MAPK1
CD40LG	MAPK14
CD40LG	MAPK8
CD40LG	NFKB1
CD40LG	REL
CD40LG	RELA
EGR1	JUN
EGR1	NFKB1
JUN	EGR1
JUN	MAPK1
JUN	REL
MAPK1	EGR1
MAPK1	JUN
MAPK1	MAPK14
MAPK1	MAPK8
MAPK1	NFKB1
MAPK1	REL
MAPK1	RELA
MAPK14	EGR1
MAPK14	JUN
MAPK14	MAPK1
MAPK14	MAPK8
MAPK14	NFKB1
MAPK14	RELA
MAPK8	EGR1
MAPK8	JUN
MAPK8	MAPK1
MAPK8	MAPK14
MAPK8	REL
MAPK8	RELA
NFKB1	EGR1
NFKB1	JUN
NFKB1	MAPK1
NFKB1	MAPK8
NFKB1	REL
NFKB1	RELA
REL	JUN
REL	NFKB1
RELA	EGR1
RELA	JUN
RELA	MAPK1
RELA	NFKB1
RELA	REL
EGR1	IL17C
JUN	IL17C
MAPK14	IL17C
NFKB1	IL17C
REL	IL17C
RELA	IL17C
