from	to
CD40LG	EGR1
CD40LG	JUN
CD40LG	MAPK1
CD40LG	MAPK8
CD40LG	NFKB1
CD40LG	NFKBIA
CD40LG	RELA
CD40LG	STAT5A
EGR1	JUN
EGR1	NFKB1
JUN	EGR1
JUN	MAPK1
JUN	NFKBIA
JUN	STAT5A
MAPK1	EGR1
MAPK1	JUN
MAPK1	MAPK8
MAPK1	NFKB1
MAPK1	NFKBIA
MAPK1	RELA
MAPK1	STAT5A
MAPK8	EGR1
MAPK8	JUN
MAPK8	MAPK1
MAPK8	NFKBIA
MAPK8	RELA
MAPK8	STAT5A
NFKB1	EGR1
NFKB1	JUN
NFKB1	MAPK1
NFKB1	MAPK8
NFKB1	NFKBIA
NFKB1	RELA
NFKB1	STAT5A
NFKBIA	NFKB1
NFKBIA	RELA
RELA	EGR1
RELA	JUN
RELA	MAPK1
RELA	NFKB1
RELA	NFKBIA
STAT5A	JUN
STAT5A	MAPK1
STAT5A	NFKB1
STAT5A	NFKBIA
EGR1	IL1RN
JUN	IL1RN
NFKB1	IL1RN
NFKBIA	IL1RN
RELA	IL1RN
STAT5A	IL1RN
