from	to
CD40	MAP3K14
CD40	MAPK8
CD40	NFKB1
CD40	RELA
CD40	RELB
CD40	TP53
CD40LG	CD40
CD40LG	MAP3K14
CD40LG	MAPK8
CD40LG	NFKB1
CD40LG	RELA
CD40LG	RELB
CD40LG	STAT6
CD40LG	TP53
MAP3K14	MAPK8
MAP3K14	NFKB1
MAP3K14	RELA
MAP3K14	RELB
MAP3K14	STAT6
MAPK8	RELA
MAPK8	STAT6
MAPK8	TP53
NFKB1	MAPK8
NFKB1	RELA
NFKB1	RELB
NFKB1	TP53
RELA	NFKB1
RELA	RELB
RELA	TP53
RELB	NFKB1
RELB	TP53
STAT6	NFKB1
STAT6	RELA
STAT6	TP53
TP53	MAPK8
TP53	NFKB1
TP53	RELA
TP53	RELB
TP53	STAT6
CD40	IL32
NFKB1	IL32
RELA	IL32
RELB	IL32
STAT6	IL32
TP53	IL32
