from	to
AKT1	ESR1
AKT1	MAPK14
AKT1	MAPK8
AKT1	SP1
AKT1	TP53
CD40LG	AKT1
CD40LG	MAPK14
CD40LG	MAPK8
CD40LG	PIK3CA
CD40LG	TP53
ESR1	AKT1
ESR1	MAPK14
ESR1	PIK3CA
ESR1	SP1
ESR1	TP53
MAPK14	AKT1
MAPK14	ESR1
MAPK14	MAPK8
MAPK14	PIK3CA
MAPK14	SP1
MAPK14	TP53
MAPK8	AKT1
MAPK8	ESR1
MAPK8	MAPK14
MAPK8	SP1
MAPK8	TP53
PIK3CA	AKT1
PIK3CA	MAPK14
PIK3CA	MAPK8
PIK3CA	SP1
SP1	AKT1
SP1	ESR1
SP1	TP53
TP53	AKT1
TP53	ESR1
TP53	MAPK14
TP53	MAPK8
TP53	PIK3CA
TP53	SP1
AKT1	TGFA
ESR1	TGFA
MAPK14	TGFA
PIK3CA	TGFA
SP1	TGFA
TP53	TGFA
