from	to
CSF2	JAK2
CSF2	JUN
CSF2	MAPK3
CSF2	NFKB1
CSF2	PRKACA
CSF2	RELA
CSF2	STAT1
CSF2	STAT3
JAK2	MAPK3
JAK2	NFKB1
JAK2	PRKACA
JAK2	RELA
JAK2	STAT1
JAK2	STAT3
JUN	MAPK3
JUN	STAT3
MAPK3	JAK2
MAPK3	JUN
MAPK3	NFKB1
MAPK3	PRKACA
MAPK3	RELA
MAPK3	STAT1
MAPK3	STAT3
NFKB1	JUN
NFKB1	MAPK3
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT3
PRKACA	JAK2
PRKACA	JUN
PRKACA	MAPK3
PRKACA	NFKB1
PRKACA	RELA
PRKACA	STAT1
PRKACA	STAT3
RELA	JUN
RELA	MAPK3
RELA	NFKB1
STAT1	JUN
STAT1	MAPK3
STAT1	RELA
STAT1	STAT3
STAT3	JUN
STAT3	MAPK3
STAT3	NFKB1
STAT3	RELA
STAT3	STAT1
CSF2	CCL22
JUN	CCL22
NFKB1	CCL22
RELA	CCL22
STAT1	CCL22
STAT3	CCL22
