from	to
CSF2	JAK2
CSF2	JUN
CSF2	MAPK1
CSF2	MAPK3
CSF2	NFKB1
CSF2	PRKACA
CSF2	STAT3
CSF2	STAT5A
CSF2	STAT5B
CSF2	TP53
JAK2	MAPK1
JAK2	MAPK3
JAK2	NFKB1
JAK2	PRKACA
JAK2	STAT3
JAK2	STAT5A
JAK2	STAT5B
JUN	MAPK1
JUN	MAPK3
JUN	STAT3
JUN	STAT5A
JUN	TP53
MAPK1	JAK2
MAPK1	JUN
MAPK1	MAPK3
MAPK1	NFKB1
MAPK1	PRKACA
MAPK1	STAT3
MAPK1	STAT5A
MAPK1	STAT5B
MAPK1	TP53
MAPK3	JAK2
MAPK3	JUN
MAPK3	MAPK1
MAPK3	NFKB1
MAPK3	PRKACA
MAPK3	STAT3
MAPK3	STAT5A
MAPK3	STAT5B
MAPK3	TP53
NFKB1	JUN
NFKB1	MAPK1
NFKB1	MAPK3
NFKB1	STAT3
NFKB1	STAT5A
NFKB1	TP53
PRKACA	JAK2
PRKACA	JUN
PRKACA	MAPK1
PRKACA	MAPK3
PRKACA	NFKB1
PRKACA	STAT3
PRKACA	STAT5A
PRKACA	STAT5B
PRKACA	TP53
STAT3	JUN
STAT3	MAPK1
STAT3	MAPK3
STAT3	NFKB1
STAT3	STAT5A
STAT3	STAT5B
STAT5A	JUN
STAT5A	MAPK1
STAT5A	MAPK3
STAT5A	NFKB1
STAT5A	STAT3
STAT5A	STAT5B
STAT5B	MAPK1
STAT5B	NFKB1
STAT5B	STAT5A
TP53	JUN
TP53	MAPK1
TP53	MAPK3
TP53	NFKB1
JUN	CMTM6
NFKB1	CMTM6
STAT3	CMTM6
STAT5A	CMTM6
STAT5B	CMTM6
TP53	CMTM6
