from	to
CSF2	JAK2
CSF2	NFKB1
CSF2	PRKACA
CSF2	RB1
CSF2	RELA
CSF2	SPI1
CSF2	STAT1
CSF2	STAT3
JAK2	NFKB1
JAK2	PRKACA
JAK2	RAF1
JAK2	RELA
JAK2	STAT1
JAK2	STAT3
NFKB1	RAF1
NFKB1	RELA
NFKB1	SPI1
NFKB1	STAT1
NFKB1	STAT3
PRKACA	JAK2
PRKACA	NFKB1
PRKACA	RAF1
PRKACA	RB1
PRKACA	RELA
PRKACA	STAT1
PRKACA	STAT3
RAF1	NFKB1
RAF1	RB1
RAF1	RELA
RAF1	STAT1
RAF1	STAT3
RB1	RELA
RB1	SPI1
RB1	STAT1
RB1	STAT3
RELA	NFKB1
RELA	RB1
SPI1	STAT1
STAT1	RB1
STAT1	RELA
STAT1	SPI1
STAT1	STAT3
STAT3	NFKB1
STAT3	RB1
STAT3	RELA
STAT3	SPI1
STAT3	STAT1
CSF2	CSF1
NFKB1	CSF1
RELA	CSF1
SPI1	CSF1
STAT1	CSF1
STAT3	CSF1
