from	to
AKT1	JUN
AKT1	MAPK3
AKT1	NFKB1
AKT1	PRKACA
AKT1	RELA
AKT1	STAT3
AKT1	YBX1
CSF2	AKT1
CSF2	JUN
CSF2	MAPK3
CSF2	NFKB1
CSF2	PRKACA
CSF2	RELA
CSF2	STAT3
CSF2	YBX1
JUN	MAPK3
JUN	STAT3
MAPK3	AKT1
MAPK3	JUN
MAPK3	NFKB1
MAPK3	PRKACA
MAPK3	RELA
MAPK3	STAT3
NFKB1	AKT1
NFKB1	JUN
NFKB1	MAPK3
NFKB1	RELA
NFKB1	STAT3
PRKACA	AKT1
PRKACA	JUN
PRKACA	MAPK3
PRKACA	NFKB1
PRKACA	RELA
PRKACA	STAT3
RELA	JUN
RELA	MAPK3
RELA	NFKB1
STAT3	AKT1
STAT3	JUN
STAT3	MAPK3
STAT3	NFKB1
STAT3	RELA
YBX1	JUN
CSF2	CXCL5
JUN	CXCL5
NFKB1	CXCL5
RELA	CXCL5
STAT3	CXCL5
YBX1	CXCL5
