from	to
CSF2	JAK2
CSF2	MAPK1
CSF2	PPARG
CSF2	PRKACA
CSF2	RB1
CSF2	RELA
CSF2	SPI1
CSF2	STAT3
CSF2	STAT5B
CSF2	TP53
JAK2	MAPK1
JAK2	PRKACA
JAK2	RAF1
JAK2	RELA
JAK2	STAT3
JAK2	STAT5B
MAPK1	JAK2
MAPK1	PPARG
MAPK1	PRKACA
MAPK1	RAF1
MAPK1	RB1
MAPK1	RELA
MAPK1	SPI1
MAPK1	STAT3
MAPK1	STAT5B
MAPK1	TP53
PPARG	MAPK1
PPARG	RB1
PPARG	RELA
PPARG	SPI1
PPARG	STAT3
PPARG	TP53
PRKACA	JAK2
PRKACA	MAPK1
PRKACA	RAF1
PRKACA	RB1
PRKACA	RELA
PRKACA	STAT3
PRKACA	STAT5B
PRKACA	TP53
RAF1	MAPK1
RAF1	RB1
RAF1	RELA
RAF1	STAT3
RAF1	STAT5B
RB1	RELA
RB1	SPI1
RB1	STAT3
RB1	TP53
RELA	MAPK1
RELA	PPARG
RELA	RB1
RELA	TP53
SPI1	STAT5B
SPI1	TP53
STAT3	MAPK1
STAT3	PPARG
STAT3	RB1
STAT3	RELA
STAT3	SPI1
STAT3	STAT5B
STAT5B	MAPK1
TP53	MAPK1
TP53	RB1
TP53	RELA
TP53	SPI1
PPARG	HGF
RELA	HGF
SPI1	HGF
STAT3	HGF
STAT5B	HGF
TP53	HGF
