from	to
CREB1	STAT3
CREB1	TP53
CSF2	CREB1
CSF2	JAK2
CSF2	JUN
CSF2	MAPK1
CSF2	MAPK3
CSF2	PRKACA
CSF2	STAT1
CSF2	STAT3
CSF2	STAT5A
CSF2	TP53
JAK2	MAPK1
JAK2	MAPK3
JAK2	PRKACA
JAK2	STAT1
JAK2	STAT3
JAK2	STAT5A
JUN	CREB1
JUN	MAPK1
JUN	MAPK3
JUN	STAT3
JUN	STAT5A
JUN	TP53
MAPK1	CREB1
MAPK1	JAK2
MAPK1	JUN
MAPK1	MAPK3
MAPK1	PRKACA
MAPK1	STAT1
MAPK1	STAT3
MAPK1	STAT5A
MAPK1	TP53
MAPK3	CREB1
MAPK3	JAK2
MAPK3	JUN
MAPK3	MAPK1
MAPK3	PRKACA
MAPK3	STAT1
MAPK3	STAT3
MAPK3	STAT5A
MAPK3	TP53
PRKACA	CREB1
PRKACA	JAK2
PRKACA	JUN
PRKACA	MAPK1
PRKACA	MAPK3
PRKACA	STAT1
PRKACA	STAT3
PRKACA	STAT5A
PRKACA	TP53
STAT1	JUN
STAT1	MAPK1
STAT1	MAPK3
STAT1	STAT3
STAT1	STAT5A
STAT3	CREB1
STAT3	JUN
STAT3	MAPK1
STAT3	MAPK3
STAT3	STAT1
STAT3	STAT5A
STAT5A	JUN
STAT5A	MAPK1
STAT5A	MAPK3
STAT5A	STAT3
TP53	JUN
TP53	MAPK1
TP53	MAPK3
TP53	STAT1
CREB1	HMGB1
JUN	HMGB1
STAT1	HMGB1
STAT3	HMGB1
STAT5A	HMGB1
TP53	HMGB1
