from	to
CSF2	JAK2
CSF2	JUN
CSF2	MAPK3
CSF2	NFKB1
CSF2	PRKACA
CSF2	RELA
CSF2	STAT1
CSF2	STAT3
JAK2	MAPK3
JAK2	NFKB1
JAK2	PRKACA
JAK2	RELA
JAK2	STAT1
JAK2	STAT3
JUN	MAPK3
JUN	STAT3
MAPK3	JAK2
MAPK3	JUN
MAPK3	NFKB1
MAPK3	PRKACA
MAPK3	RELA
MAPK3	STAT1
MAPK3	STAT3
NFKB1	JUN
NFKB1	MAPK3
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT3
PRKACA	JAK2
PRKACA	JUN
PRKACA	MAPK3
PRKACA	NFKB1
PRKACA	RELA
PRKACA	STAT1
PRKACA	STAT3
RELA	JUN
RELA	MAPK3
RELA	NFKB1
STAT1	JUN
STAT1	MAPK3
STAT1	RELA
STAT1	STAT3
STAT3	JUN
STAT3	MAPK3
STAT3	NFKB1
STAT3	RELA
STAT3	STAT1
CSF2	IL1A
JUN	IL1A
NFKB1	IL1A
RELA	IL1A
STAT1	IL1A
STAT3	IL1A
