from	to
CSF2	JUN
CSF2	MAPK3
CSF2	NFKB1
CSF2	PRKACA
CSF2	RELA
CSF2	STAT3
CSF2	STAT5A
JUN	MAPK3
JUN	STAT3
JUN	STAT5A
MAPK3	JUN
MAPK3	NFKB1
MAPK3	PRKACA
MAPK3	RELA
MAPK3	STAT3
MAPK3	STAT5A
NFKB1	JUN
NFKB1	MAPK3
NFKB1	RELA
NFKB1	STAT3
NFKB1	STAT5A
PRKACA	JUN
PRKACA	MAPK3
PRKACA	NFKB1
PRKACA	RELA
PRKACA	STAT3
PRKACA	STAT5A
RELA	JUN
RELA	MAPK3
RELA	NFKB1
STAT3	JUN
STAT3	MAPK3
STAT3	NFKB1
STAT3	RELA
STAT3	STAT5A
STAT5A	JUN
STAT5A	MAPK3
STAT5A	NFKB1
STAT5A	STAT3
CSF2	IL1RN
JUN	IL1RN
NFKB1	IL1RN
RELA	IL1RN
STAT3	IL1RN
STAT5A	IL1RN
