from	to
CSF2	EGR1
CSF2	JAK2
CSF2	JUN
CSF2	MAPK3
CSF2	PRKCA
CSF2	PTPN6
CSF2	RB1
CSF2	SPI1
CSF2	STAT3
EGR1	JUN
EGR1	MYC
EGR1	SPI1
JAK2	MAPK3
JAK2	MYC
JAK2	PRKCA
JAK2	PTPN6
JAK2	RAF1
JAK2	STAT3
JUN	EGR1
JUN	MAPK3
JUN	MYC
JUN	RB1
JUN	SPI1
JUN	STAT3
MAPK3	EGR1
MAPK3	JAK2
MAPK3	JUN
MAPK3	MYC
MAPK3	PRKCA
MAPK3	PTPN6
MAPK3	RAF1
MAPK3	RB1
MAPK3	SPI1
MAPK3	STAT3
MYC	EGR1
MYC	PTPN6
MYC	RB1
PRKCA	EGR1
PRKCA	JAK2
PRKCA	JUN
PRKCA	MAPK3
PRKCA	MYC
PRKCA	PTPN6
PRKCA	RAF1
PRKCA	RB1
PRKCA	SPI1
PRKCA	STAT3
PTPN6	JAK2
PTPN6	MYC
PTPN6	PRKCA
PTPN6	STAT3
RAF1	EGR1
RAF1	MAPK3
RAF1	MYC
RAF1	RB1
RAF1	STAT3
RB1	JUN
RB1	MAPK3
RB1	MYC
RB1	SPI1
RB1	STAT3
STAT3	EGR1
STAT3	JUN
STAT3	MAPK3
STAT3	MYC
STAT3	PRKCA
STAT3	RB1
STAT3	SPI1
EGR1	LECT2
JUN	LECT2
MYC	LECT2
PRKCA	LECT2
SPI1	LECT2
STAT3	LECT2
