from	to
AKT1	CREB1
AKT1	HIF1A
AKT1	MYC
AKT1	NFKB1
AKT1	PRKACA
AKT1	RAF1
AKT1	STAT3
CREB1	MYC
CREB1	NFKB1
CREB1	STAT3
CSF2	AKT1
CSF2	CREB1
CSF2	HIF1A
CSF2	JAK2
CSF2	NFKB1
CSF2	PRKACA
CSF2	STAT3
HIF1A	CREB1
HIF1A	JAK2
HIF1A	MYC
HIF1A	NFKB1
JAK2	AKT1
JAK2	HIF1A
JAK2	MYC
JAK2	NFKB1
JAK2	PRKACA
JAK2	RAF1
JAK2	STAT3
MYC	CREB1
MYC	NFKB1
NFKB1	AKT1
NFKB1	CREB1
NFKB1	MYC
NFKB1	RAF1
NFKB1	STAT3
PRKACA	AKT1
PRKACA	CREB1
PRKACA	HIF1A
PRKACA	JAK2
PRKACA	MYC
PRKACA	NFKB1
PRKACA	RAF1
PRKACA	STAT3
RAF1	AKT1
RAF1	MYC
RAF1	NFKB1
RAF1	STAT3
STAT3	AKT1
STAT3	CREB1
STAT3	HIF1A
STAT3	MYC
STAT3	NFKB1
AKT1	MIF
CREB1	MIF
HIF1A	MIF
MYC	MIF
NFKB1	MIF
STAT3	MIF
