from	to
CSF2	JAK2
CSF2	JUN
CSF2	MAPK3
CSF2	PRKACA
CSF2	RELA
CSF2	STAT2
CSF2	STAT3
JAK2	MAPK3
JAK2	MYC
JAK2	PRKACA
JAK2	RAF1
JAK2	RELA
JAK2	STAT2
JAK2	STAT3
JUN	MAPK3
JUN	MYC
JUN	STAT3
MAPK3	JAK2
MAPK3	JUN
MAPK3	MYC
MAPK3	PRKACA
MAPK3	RAF1
MAPK3	RELA
MAPK3	STAT2
MAPK3	STAT3
MYC	RELA
PRKACA	JAK2
PRKACA	JUN
PRKACA	MAPK3
PRKACA	MYC
PRKACA	RAF1
PRKACA	RELA
PRKACA	STAT2
PRKACA	STAT3
RAF1	MAPK3
RAF1	MYC
RAF1	RELA
RAF1	STAT2
RAF1	STAT3
RELA	JUN
RELA	MAPK3
RELA	MYC
STAT2	JAK2
STAT2	MYC
STAT3	JUN
STAT3	MAPK3
STAT3	MYC
STAT3	RELA
STAT3	STAT2
CSF2	SPP1
JUN	SPP1
MYC	SPP1
RELA	SPP1
STAT2	SPP1
STAT3	SPP1
