from	to
CSF2	HIF1A
CSF2	JAK2
CSF2	NFKB1
CSF2	PRKACA
CSF2	RELA
CSF2	STAT1
CSF2	STAT3
CSF2	STAT6
EP300	HIF1A
EP300	NFKB1
EP300	RELA
EP300	STAT3
EP300	STAT6
HIF1A	EP300
HIF1A	JAK2
HIF1A	NFKB1
HIF1A	RELA
JAK2	HIF1A
JAK2	NFKB1
JAK2	PRKACA
JAK2	RELA
JAK2	STAT1
JAK2	STAT3
JAK2	STAT6
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT3
PRKACA	EP300
PRKACA	HIF1A
PRKACA	JAK2
PRKACA	NFKB1
PRKACA	RELA
PRKACA	STAT1
PRKACA	STAT3
PRKACA	STAT6
RELA	EP300
RELA	NFKB1
STAT1	EP300
STAT1	HIF1A
STAT1	RELA
STAT1	STAT3
STAT3	EP300
STAT3	HIF1A
STAT3	NFKB1
STAT3	RELA
STAT3	STAT1
STAT3	STAT6
STAT6	EP300
STAT6	NFKB1
STAT6	RELA
STAT6	STAT1
STAT6	STAT3
EP300	TNFSF13B
HIF1A	TNFSF13B
NFKB1	TNFSF13B
RELA	TNFSF13B
STAT1	TNFSF13B
STAT6	TNFSF13B
