from	to
AR	EGFR
AR	ESR1
AR	GRB2
AR	HIF1A
AR	MAPK1
AR	MYC
AR	STAT3
EGF	AR
EGF	EGFR
EGF	ESR1
EGF	GRB2
EGF	HIF1A
EGF	MAPK1
EGF	MYC
EGF	RAF1
EGF	SRC
EGF	STAT3
EGFR	AR
EGFR	ESR1
EGFR	GRB2
EGFR	HIF1A
EGFR	MAPK1
EGFR	MYC
EGFR	RAF1
EGFR	SRC
EGFR	STAT3
ESR1	AR
ESR1	EGFR
ESR1	GRB2
ESR1	HIF1A
ESR1	MAPK1
ESR1	MYC
ESR1	RAF1
ESR1	SRC
ESR1	STAT3
GRB2	AR
GRB2	EGFR
GRB2	ESR1
GRB2	MAPK1
GRB2	MYC
GRB2	RAF1
GRB2	SRC
GRB2	STAT3
HIF1A	AR
HIF1A	EGFR
HIF1A	MAPK1
HIF1A	MYC
HIF1A	SRC
MAPK1	AR
MAPK1	EGFR
MAPK1	ESR1
MAPK1	GRB2
MAPK1	HIF1A
MAPK1	MYC
MAPK1	RAF1
MAPK1	STAT3
MYC	AR
MYC	EGFR
RAF1	AR
RAF1	EGFR
RAF1	MAPK1
RAF1	MYC
RAF1	SRC
RAF1	STAT3
SRC	AR
SRC	EGFR
SRC	ESR1
SRC	GRB2
SRC	HIF1A
SRC	MAPK1
SRC	MYC
SRC	RAF1
SRC	STAT3
STAT3	AR
STAT3	EGFR
STAT3	ESR1
STAT3	HIF1A
STAT3	MAPK1
STAT3	MYC
STAT3	SRC
AR	ANGPTL4
EGF	ANGPTL4
ESR1	ANGPTL4
HIF1A	ANGPTL4
MYC	ANGPTL4
STAT3	ANGPTL4
