from	to
EGF	EGFR
EGF	ESR2
EGF	IKBKB
EGF	MYC
EGF	RAF1
EGF	RELA
EGF	SRC
EGF	STAT1
EGF	STAT3
EGFR	ESR2
EGFR	MYC
EGFR	RAF1
EGFR	RELA
EGFR	SRC
EGFR	STAT1
EGFR	STAT3
ESR2	EGFR
ESR2	SRC
ESR2	STAT1
ESR2	STAT3
IKBKB	EGFR
IKBKB	MYC
IKBKB	RAF1
IKBKB	RELA
IKBKB	SRC
IKBKB	STAT1
IKBKB	STAT3
MYC	EGFR
MYC	RELA
RAF1	EGFR
RAF1	IKBKB
RAF1	MYC
RAF1	RELA
RAF1	SRC
RAF1	STAT1
RAF1	STAT3
RELA	MYC
SRC	EGFR
SRC	ESR2
SRC	IKBKB
SRC	MYC
SRC	RAF1
SRC	RELA
SRC	STAT1
SRC	STAT3
STAT1	ESR2
STAT1	MYC
STAT1	RELA
STAT1	STAT3
STAT3	EGFR
STAT3	ESR2
STAT3	MYC
STAT3	RELA
STAT3	SRC
STAT3	STAT1
EGF	BMP2
ESR2	BMP2
MYC	BMP2
RELA	BMP2
STAT1	BMP2
STAT3	BMP2
