from	to
EGF	IKBKB
EGF	JUN
EGF	MYC
EGF	NFKB1
EGF	PTK2
EGF	RAF1
EGF	RELA
EGF	SRC
EGF	TP53
IKBKB	JUN
IKBKB	MYC
IKBKB	NFKB1
IKBKB	RAF1
IKBKB	RELA
IKBKB	SRC
IKBKB	TP53
JUN	IKBKB
JUN	MYC
JUN	TP53
MYC	NFKB1
MYC	PTK2
MYC	RELA
MYC	TP53
NFKB1	IKBKB
NFKB1	JUN
NFKB1	MYC
NFKB1	RAF1
NFKB1	RELA
NFKB1	TP53
PTK2	JUN
PTK2	SRC
PTK2	TP53
RAF1	IKBKB
RAF1	MYC
RAF1	NFKB1
RAF1	RELA
RAF1	SRC
RELA	JUN
RELA	MYC
RELA	NFKB1
RELA	PTK2
RELA	TP53
SRC	IKBKB
SRC	JUN
SRC	MYC
SRC	NFKB1
SRC	PTK2
SRC	RAF1
SRC	RELA
SRC	TP53
TP53	JUN
TP53	NFKB1
TP53	PTK2
TP53	RELA
EGF	CCL20
JUN	CCL20
MYC	CCL20
NFKB1	CCL20
RELA	CCL20
TP53	CCL20
