from	to
EGF	CREB1
EGF	EGFR
EGF	GRB2
EGF	HIF1A
EGF	JUN
EGF	MAPK1
EGF	PTEN
EGF	SRC
EGFR	GRB2
EGFR	HIF1A
EGFR	JUN
EGFR	MAPK1
EGFR	PTEN
EGFR	SRC
GRB2	CREB1
GRB2	EGFR
GRB2	JUN
GRB2	MAPK1
GRB2	PTEN
GRB2	SRC
HIF1A	CREB1
HIF1A	EGFR
HIF1A	JUN
HIF1A	MAPK1
HIF1A	SRC
JUN	CREB1
JUN	GRB2
JUN	HIF1A
JUN	MAPK1
JUN	PTEN
MAPK1	CREB1
MAPK1	EGFR
MAPK1	GRB2
MAPK1	HIF1A
MAPK1	JUN
MAPK1	PTEN
PTEN	CREB1
PTEN	EGFR
PTEN	GRB2
PTEN	HIF1A
PTEN	MAPK1
PTEN	SRC
SRC	EGFR
SRC	GRB2
SRC	HIF1A
SRC	JUN
SRC	MAPK1
SRC	PTEN
CREB1	HBEGF
EGF	HBEGF
EGFR	HBEGF
HIF1A	HBEGF
JUN	HBEGF
PTEN	HBEGF
