from	to
CREB1	FOS
CREB1	MYC
CREB1	NFKB1
CREB1	RELA
EGF	CREB1
EGF	FOS
EGF	IKBKB
EGF	JUN
EGF	MYC
EGF	NFKB1
EGF	RAF1
EGF	RELA
EGF	SRC
FOS	JUN
FOS	MYC
FOS	NFKB1
IKBKB	FOS
IKBKB	JUN
IKBKB	MYC
IKBKB	NFKB1
IKBKB	RAF1
IKBKB	RELA
IKBKB	SRC
JUN	CREB1
JUN	FOS
JUN	IKBKB
JUN	MYC
MYC	CREB1
MYC	FOS
MYC	NFKB1
MYC	RELA
NFKB1	CREB1
NFKB1	FOS
NFKB1	IKBKB
NFKB1	JUN
NFKB1	MYC
NFKB1	RAF1
NFKB1	RELA
RAF1	IKBKB
RAF1	MYC
RAF1	NFKB1
RAF1	RELA
RAF1	SRC
RELA	CREB1
RELA	FOS
RELA	JUN
RELA	MYC
RELA	NFKB1
SRC	FOS
SRC	IKBKB
SRC	JUN
SRC	MYC
SRC	NFKB1
SRC	RAF1
SRC	RELA
CREB1	IL1RN
FOS	IL1RN
JUN	IL1RN
MYC	IL1RN
NFKB1	IL1RN
RELA	IL1RN
