from	to
EGF	EGFR
EGF	GRB2
EGF	HIF1A
EGF	MAPK1
EGF	MYC
EGF	RAF1
EGF	SP1
EGF	STAT3
EGF	STAT5A
EGF	STAT5B
EGFR	GRB2
EGFR	HIF1A
EGFR	MAPK1
EGFR	MYC
EGFR	RAF1
EGFR	SP1
EGFR	STAT3
EGFR	STAT5A
EGFR	STAT5B
GRB2	EGFR
GRB2	MAPK1
GRB2	MYC
GRB2	RAF1
GRB2	SP1
GRB2	STAT3
GRB2	STAT5A
GRB2	STAT5B
HIF1A	EGFR
HIF1A	MAPK1
HIF1A	MYC
HIF1A	SP1
MAPK1	EGFR
MAPK1	GRB2
MAPK1	HIF1A
MAPK1	MYC
MAPK1	RAF1
MAPK1	SP1
MAPK1	STAT3
MAPK1	STAT5A
MAPK1	STAT5B
MYC	EGFR
MYC	SP1
MYC	STAT5B
RAF1	EGFR
RAF1	MAPK1
RAF1	MYC
RAF1	STAT3
RAF1	STAT5A
RAF1	STAT5B
SP1	EGFR
SP1	GRB2
SP1	HIF1A
SP1	MYC
SP1	STAT3
STAT3	EGFR
STAT3	HIF1A
STAT3	MAPK1
STAT3	MYC
STAT3	SP1
STAT3	STAT5A
STAT3	STAT5B
STAT5A	GRB2
STAT5A	MAPK1
STAT5A	MYC
STAT5A	STAT3
STAT5A	STAT5B
STAT5B	GRB2
STAT5B	MAPK1
STAT5B	MYC
STAT5B	STAT5A
HIF1A	NTF4
MYC	NTF4
SP1	NTF4
STAT3	NTF4
STAT5A	NTF4
STAT5B	NTF4
