from	to
AKT1	AR
AKT1	EGFR
AKT1	PTEN
AKT1	PTK2
AKT1	RAF1
AKT1	RARA
AKT1	RB1
AKT1	SRC
AKT1	STAT5B
AKT1	TP53
AR	EGFR
AR	PTK2
AR	RB1
AR	STAT5B
AR	TP53
EGF	AKT1
EGF	AR
EGF	EGFR
EGF	PTEN
EGF	PTK2
EGF	RAF1
EGF	RARA
EGF	RB1
EGF	SRC
EGF	STAT5B
EGF	TP53
EGFR	AKT1
EGFR	AR
EGFR	PTEN
EGFR	PTK2
EGFR	RAF1
EGFR	SRC
EGFR	STAT5B
PTEN	AKT1
PTEN	AR
PTEN	EGFR
PTEN	PTK2
PTEN	RB1
PTEN	SRC
PTEN	TP53
PTK2	AKT1
PTK2	EGFR
PTK2	PTEN
PTK2	RARA
PTK2	RB1
PTK2	SRC
PTK2	STAT5B
PTK2	TP53
RAF1	AKT1
RAF1	AR
RAF1	EGFR
RAF1	RB1
RAF1	SRC
RAF1	STAT5B
RARA	AKT1
RARA	EGFR
RARA	PTK2
RARA	RB1
RARA	SRC
RARA	TP53
RB1	AKT1
RB1	AR
RB1	PTEN
RB1	RARA
RB1	TP53
SRC	AKT1
SRC	AR
SRC	EGFR
SRC	PTEN
SRC	PTK2
SRC	RAF1
SRC	RARA
SRC	RB1
SRC	STAT5B
SRC	TP53
STAT5B	AKT1
STAT5B	AR
STAT5B	RARA
TP53	AKT1
TP53	AR
TP53	EGFR
TP53	PTEN
TP53	PTK2
TP53	RARA
TP53	RB1
AR	PPBP
PTEN	PPBP
RARA	PPBP
RB1	PPBP
STAT5B	PPBP
TP53	PPBP
