from	to
AKT1	CREB1
AKT1	ESR1
AKT1	MAPK1
AKT1	PTK2
AKT1	SP1
AKT1	SRC
AKT1	TP53
CREB1	SP1
CREB1	TP53
EGF	AKT1
EGF	CREB1
EGF	ESR1
EGF	GRB2
EGF	MAPK1
EGF	PTK2
EGF	SP1
EGF	SRC
EGF	TP53
ESR1	AKT1
ESR1	CREB1
ESR1	GRB2
ESR1	MAPK1
ESR1	PTK2
ESR1	SP1
ESR1	SRC
ESR1	TP53
GRB2	AKT1
GRB2	CREB1
GRB2	ESR1
GRB2	MAPK1
GRB2	PTK2
GRB2	SP1
GRB2	SRC
GRB2	TP53
MAPK1	AKT1
MAPK1	CREB1
MAPK1	ESR1
MAPK1	GRB2
MAPK1	PTK2
MAPK1	SP1
MAPK1	TP53
PTK2	AKT1
PTK2	GRB2
PTK2	MAPK1
PTK2	SRC
PTK2	TP53
SP1	AKT1
SP1	CREB1
SP1	ESR1
SP1	GRB2
SP1	PTK2
SP1	TP53
SRC	AKT1
SRC	ESR1
SRC	GRB2
SRC	MAPK1
SRC	PTK2
SRC	SP1
SRC	TP53
TP53	AKT1
TP53	ESR1
TP53	GRB2
TP53	MAPK1
TP53	PTK2
TP53	SP1
AKT1	TGFA
CREB1	TGFA
EGF	TGFA
ESR1	TGFA
SP1	TGFA
TP53	TGFA
