from	to
EGF	EGFR
EGF	GRB2
EGF	JUN
EGF	MAPK1
EGF	MYC
EGF	RAF1
EGF	SMAD3
EGF	SP1
EGF	STAT1
EGF	STAT3
EGFR	GRB2
EGFR	JUN
EGFR	MAPK1
EGFR	MYC
EGFR	RAF1
EGFR	SP1
EGFR	STAT1
EGFR	STAT3
GRB2	EGFR
GRB2	JUN
GRB2	MAPK1
GRB2	MYC
GRB2	RAF1
GRB2	SMAD3
GRB2	SP1
GRB2	STAT3
JUN	GRB2
JUN	MAPK1
JUN	MYC
JUN	SMAD3
JUN	SP1
JUN	STAT3
MAPK1	EGFR
MAPK1	GRB2
MAPK1	JUN
MAPK1	MYC
MAPK1	RAF1
MAPK1	SMAD3
MAPK1	SP1
MAPK1	STAT1
MAPK1	STAT3
MYC	EGFR
MYC	SMAD3
MYC	SP1
RAF1	EGFR
RAF1	MAPK1
RAF1	MYC
RAF1	STAT1
RAF1	STAT3
SMAD3	GRB2
SMAD3	JUN
SMAD3	MYC
SMAD3	SP1
SMAD3	STAT3
SP1	EGFR
SP1	GRB2
SP1	JUN
SP1	MYC
SP1	SMAD3
SP1	STAT1
SP1	STAT3
STAT1	JUN
STAT1	MAPK1
STAT1	MYC
STAT1	SP1
STAT1	STAT3
STAT3	EGFR
STAT3	JUN
STAT3	MAPK1
STAT3	MYC
STAT3	SMAD3
STAT3	SP1
STAT3	STAT1
JUN	TGFB1
MYC	TGFB1
SMAD3	TGFB1
SP1	TGFB1
STAT1	TGFB1
STAT3	TGFB1
