from	to
AR	CTNNB1
AR	EGFR
AR	ERBB2
AR	HNF4A
AR	PTK2
AR	TP53
CTNNB1	AR
CTNNB1	EGFR
CTNNB1	HNF4A
CTNNB1	SRC
CTNNB1	STAT5A
CTNNB1	TP53
EGF	AR
EGF	CTNNB1
EGF	EGFR
EGF	ERBB2
EGF	ETV4
EGF	PTK2
EGF	SRC
EGF	STAT5A
EGF	TP53
EGFR	AR
EGFR	CTNNB1
EGFR	ERBB2
EGFR	PTK2
EGFR	SRC
EGFR	STAT5A
ERBB2	AR
ERBB2	CTNNB1
ERBB2	EGFR
ERBB2	ETV4
ERBB2	PTK2
ERBB2	SRC
ERBB2	STAT5A
ERBB2	TP53
ETV4	ERBB2
ETV4	TP53
HNF4A	AR
HNF4A	CTNNB1
HNF4A	PTK2
HNF4A	STAT5A
HNF4A	TP53
PTK2	CTNNB1
PTK2	EGFR
PTK2	ERBB2
PTK2	HNF4A
PTK2	SRC
PTK2	STAT5A
PTK2	TP53
SRC	AR
SRC	CTNNB1
SRC	EGFR
SRC	ERBB2
SRC	HNF4A
SRC	PTK2
SRC	STAT5A
SRC	TP53
STAT5A	HNF4A
TP53	AR
TP53	CTNNB1
TP53	EGFR
TP53	ERBB2
TP53	ETV4
TP53	HNF4A
TP53	PTK2
AR	TNFSF12
CTNNB1	TNFSF12
ETV4	TNFSF12
HNF4A	TNFSF12
STAT5A	TNFSF12
TP53	TNFSF12
