from	to
CTNNB1	JUN
CTNNB1	MAPK1
CTNNB1	NFKB1
CTNNB1	RELA
CTNNB1	SOX2
CTNNB1	SP1
CTNNB1	STAT3
FGF2	CTNNB1
FGF2	FGFR2
FGF2	FGFR3
FGF2	JUN
FGF2	MAPK1
FGF2	MAPK3
FGF2	NFKB1
FGF2	RELA
FGF2	SOX2
FGF2	SP1
FGF2	STAT3
FGFR2	CTNNB1
FGFR2	FGFR3
FGFR2	JUN
FGFR2	MAPK1
FGFR2	MAPK3
FGFR2	STAT3
FGFR3	CTNNB1
FGFR3	FGFR2
FGFR3	JUN
FGFR3	MAPK1
FGFR3	MAPK3
FGFR3	STAT3
JUN	MAPK1
JUN	MAPK3
JUN	SOX2
JUN	SP1
JUN	STAT3
MAPK1	CTNNB1
MAPK1	FGFR2
MAPK1	FGFR3
MAPK1	JUN
MAPK1	MAPK3
MAPK1	NFKB1
MAPK1	RELA
MAPK1	SP1
MAPK1	STAT3
MAPK3	FGFR2
MAPK3	FGFR3
MAPK3	JUN
MAPK3	MAPK1
MAPK3	NFKB1
MAPK3	RELA
MAPK3	SOX2
MAPK3	SP1
MAPK3	STAT3
NFKB1	JUN
NFKB1	MAPK1
NFKB1	MAPK3
NFKB1	RELA
NFKB1	STAT3
RELA	CTNNB1
RELA	JUN
RELA	MAPK1
RELA	MAPK3
RELA	NFKB1
RELA	SOX2
RELA	SP1
SOX2	RELA
SOX2	STAT3
SP1	CTNNB1
SP1	JUN
SP1	NFKB1
SP1	STAT3
STAT3	CTNNB1
STAT3	JUN
STAT3	MAPK1
STAT3	MAPK3
STAT3	NFKB1
STAT3	RELA
STAT3	SOX2
STAT3	SP1
JUN	CXCL5
NFKB1	CXCL5
RELA	CXCL5
SOX2	CXCL5
SP1	CXCL5
STAT3	CXCL5
