from	to
HGF	JUN
HGF	MAPK1
HGF	MAPK8
HGF	MET
HGF	MYC
HGF	NFKB1
HGF	PTK2
HGF	RELA
HGF	SRC
HGF	STAT3
IKBKB	JUN
IKBKB	MYC
IKBKB	NFKB1
IKBKB	RELA
IKBKB	SRC
IKBKB	STAT1
IKBKB	STAT3
JUN	IKBKB
JUN	MAPK1
JUN	MET
JUN	MYC
JUN	STAT3
MAPK1	JUN
MAPK1	MAPK8
MAPK1	MET
MAPK1	MYC
MAPK1	NFKB1
MAPK1	PTK2
MAPK1	RELA
MAPK1	STAT1
MAPK1	STAT3
MAPK8	JUN
MAPK8	MAPK1
MAPK8	MET
MAPK8	MYC
MAPK8	PTK2
MAPK8	RELA
MAPK8	SRC
MAPK8	STAT1
MAPK8	STAT3
MET	JUN
MET	MAPK1
MET	MAPK8
MET	MYC
MET	PTK2
MET	SRC
MET	STAT1
MET	STAT3
MYC	MET
MYC	NFKB1
MYC	PTK2
MYC	RELA
NFKB1	IKBKB
NFKB1	JUN
NFKB1	MAPK1
NFKB1	MAPK8
NFKB1	MYC
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT3
PTK2	JUN
PTK2	MAPK1
PTK2	MAPK8
PTK2	SRC
PTK2	STAT1
PTK2	STAT3
RELA	JUN
RELA	MAPK1
RELA	MYC
RELA	NFKB1
RELA	PTK2
SRC	IKBKB
SRC	JUN
SRC	MAPK1
SRC	MAPK8
SRC	MET
SRC	MYC
SRC	NFKB1
SRC	PTK2
SRC	RELA
SRC	STAT1
SRC	STAT3
STAT1	JUN
STAT1	MAPK1
STAT1	MYC
STAT1	PTK2
STAT1	RELA
STAT1	STAT3
STAT3	JUN
STAT3	MAPK1
STAT3	MAPK8
STAT3	MYC
STAT3	NFKB1
STAT3	PTK2
STAT3	RELA
STAT3	SRC
STAT3	STAT1
JUN	CCL2
MYC	CCL2
NFKB1	CCL2
RELA	CCL2
STAT1	CCL2
STAT3	CCL2
