from	to
CREB1	MYC
CREB1	SMAD3
CREB1	STAT3
E2F4	JUN
E2F4	MYC
E2F4	STAT3
HGF	CREB1
HGF	E2F4
HGF	JUN
HGF	MAPK1
HGF	MAPK8
HGF	MET
HGF	MYC
HGF	PLAU
HGF	STAT3
JUN	CREB1
JUN	E2F4
JUN	MAPK1
JUN	MET
JUN	MYC
JUN	PLAU
JUN	SMAD3
JUN	STAT3
MAPK1	CREB1
MAPK1	JUN
MAPK1	MAPK8
MAPK1	MET
MAPK1	MYC
MAPK1	PLAU
MAPK1	SMAD3
MAPK1	STAT3
MAPK8	CREB1
MAPK8	JUN
MAPK8	MAPK1
MAPK8	MET
MAPK8	MYC
MAPK8	PLAU
MAPK8	SMAD3
MAPK8	STAT3
MET	JUN
MET	MAPK1
MET	MAPK8
MET	MYC
MET	STAT3
MYC	CREB1
MYC	MET
MYC	PLAU
MYC	SMAD3
PLAU	MAPK1
PLAU	MAPK8
PLAU	MYC
PLAU	STAT3
SMAD3	E2F4
SMAD3	JUN
SMAD3	MYC
SMAD3	STAT3
STAT3	CREB1
STAT3	E2F4
STAT3	JUN
STAT3	MAPK1
STAT3	MAPK8
STAT3	MYC
STAT3	SMAD3
CREB1	HMGB1
E2F4	HMGB1
JUN	HMGB1
MYC	HMGB1
PLAU	HMGB1
STAT3	HMGB1
