from	to
CREB1	ETS1
CREB1	NFKB1
CREB1	RELA
CREB1	STAT3
CREB1	TP53
ETS1	CREB1
ETS1	NFKB1
HGF	CREB1
HGF	ETS1
HGF	MAPK1
HGF	MAPK8
HGF	MET
HGF	NFKB1
HGF	RELA
HGF	SRC
HGF	STAT3
IKBKB	NFKB1
IKBKB	RELA
IKBKB	SRC
IKBKB	STAT3
IKBKB	TP53
MAPK1	CREB1
MAPK1	ETS1
MAPK1	MAPK8
MAPK1	MET
MAPK1	NFKB1
MAPK1	RELA
MAPK1	STAT3
MAPK1	TP53
MAPK8	CREB1
MAPK8	ETS1
MAPK8	MAPK1
MAPK8	MET
MAPK8	RELA
MAPK8	SRC
MAPK8	STAT3
MAPK8	TP53
MET	MAPK1
MET	MAPK8
MET	SRC
MET	STAT3
NFKB1	CREB1
NFKB1	ETS1
NFKB1	IKBKB
NFKB1	MAPK1
NFKB1	MAPK8
NFKB1	RELA
NFKB1	STAT3
NFKB1	TP53
RELA	CREB1
RELA	MAPK1
RELA	NFKB1
RELA	TP53
SRC	ETS1
SRC	IKBKB
SRC	MAPK1
SRC	MAPK8
SRC	MET
SRC	NFKB1
SRC	RELA
SRC	STAT3
SRC	TP53
STAT3	CREB1
STAT3	MAPK1
STAT3	MAPK8
STAT3	NFKB1
STAT3	RELA
STAT3	SRC
TP53	ETS1
TP53	MAPK1
TP53	MAPK8
TP53	MET
TP53	NFKB1
TP53	RELA
CREB1	IL10
ETS1	IL10
NFKB1	IL10
RELA	IL10
STAT3	IL10
TP53	IL10
