from	to
CD40	EP300
CD40	JAK3
CD40	MAPK1
CD40	RELA
CD40	TP53
EP300	JUN
EP300	RELA
EP300	TP53
IFNB1	CD40
IFNB1	EP300
IFNB1	JAK1
IFNB1	JAK3
IFNB1	MAPK1
IFNB1	RELA
IFNB1	STAT1
IFNB1	TP53
IFNB1	TYK2
JAK1	JAK3
JAK1	MAPK1
JAK1	STAT1
JAK1	TYK2
JAK3	CD40
JAK3	JAK1
JAK3	STAT1
JUN	EP300
JUN	MAPK1
JUN	TP53
MAPK1	EP300
MAPK1	JAK1
MAPK1	JAK3
MAPK1	JUN
MAPK1	RELA
MAPK1	STAT1
MAPK1	TP53
RELA	EP300
RELA	JUN
RELA	MAPK1
RELA	TP53
STAT1	EP300
STAT1	JUN
STAT1	MAPK1
STAT1	RELA
TP53	EP300
TP53	JUN
TP53	MAPK1
TP53	RELA
TP53	STAT1
TYK2	JAK1
TYK2	JAK3
TYK2	MAPK1
TYK2	RELA
TYK2	STAT1
CD40	ADM
JUN	ADM
RELA	ADM
STAT1	ADM
TP53	ADM
TYK2	ADM
