from	to
AKT1	EP300
AKT1	MAPK1
AKT1	MYC
AKT1	STAT1
AKT1	STAT2
AKT1	STAT3
EP300	AKT1
EP300	MYC
EP300	STAT2
EP300	STAT3
IFNB1	AKT1
IFNB1	EP300
IFNB1	JAK1
IFNB1	MAPK1
IFNB1	STAT1
IFNB1	STAT2
JAK1	AKT1
JAK1	MAPK1
JAK1	MYC
JAK1	STAT1
JAK1	STAT2
JAK1	STAT3
MAPK1	AKT1
MAPK1	EP300
MAPK1	JAK1
MAPK1	MYC
MAPK1	STAT1
MAPK1	STAT2
MAPK1	STAT3
MYC	EP300
STAT1	AKT1
STAT1	EP300
STAT1	MAPK1
STAT1	MYC
STAT1	STAT2
STAT1	STAT3
STAT2	AKT1
STAT2	EP300
STAT2	JAK1
STAT2	MYC
STAT2	STAT1
STAT3	AKT1
STAT3	EP300
STAT3	MAPK1
STAT3	MYC
STAT3	STAT1
STAT3	STAT2
AKT1	ANGPTL4
EP300	ANGPTL4
MYC	ANGPTL4
STAT1	ANGPTL4
STAT2	ANGPTL4
STAT3	ANGPTL4
