from	to
ESR1	JAK1
ESR1	MAPK1
ESR1	NFKB1
ESR1	RELA
ESR1	SP1
ESR1	SRC
ESR1	STAT1
ESR1	STAT3
IFNB1	JAK1
IFNB1	MAPK1
IFNB1	RELA
IFNB1	SP1
IFNB1	STAT1
JAK1	ESR1
JAK1	MAPK1
JAK1	PTPN11
JAK1	SRC
JAK1	STAT1
JAK1	STAT3
MAPK1	ESR1
MAPK1	JAK1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	SP1
MAPK1	STAT1
MAPK1	STAT3
NFKB1	MAPK1
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT3
PTPN11	JAK1
PTPN11	MAPK1
PTPN11	SRC
PTPN11	STAT1
PTPN11	STAT3
RELA	MAPK1
RELA	NFKB1
RELA	SP1
SP1	ESR1
SP1	NFKB1
SP1	STAT1
SP1	STAT3
SRC	ESR1
SRC	JAK1
SRC	MAPK1
SRC	NFKB1
SRC	PTPN11
SRC	RELA
SRC	SP1
SRC	STAT1
SRC	STAT3
STAT1	ESR1
STAT1	MAPK1
STAT1	RELA
STAT1	SP1
STAT1	STAT3
STAT3	ESR1
STAT3	MAPK1
STAT3	NFKB1
STAT3	PTPN11
STAT3	RELA
STAT3	SP1
STAT3	SRC
STAT3	STAT1
ESR1	AREG
NFKB1	AREG
RELA	AREG
SP1	AREG
STAT1	AREG
STAT3	AREG
