from	to
IFNB1	JAK1
IFNB1	JUND
IFNB1	MAPK1
IFNB1	RELA
IFNB1	STAT1
IFNB1	TYK2
JAK1	MAPK1
JAK1	STAT1
JAK1	STAT3
JAK1	TYK2
JUND	NFKB1
JUND	STAT3
MAPK1	JAK1
MAPK1	JUND
MAPK1	NFKB1
MAPK1	RELA
MAPK1	STAT1
MAPK1	STAT3
NFKB1	JUND
NFKB1	MAPK1
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT3
RELA	MAPK1
RELA	NFKB1
STAT1	MAPK1
STAT1	RELA
STAT1	STAT3
STAT3	JUND
STAT3	MAPK1
STAT3	NFKB1
STAT3	RELA
STAT3	STAT1
TYK2	JAK1
TYK2	MAPK1
TYK2	NFKB1
TYK2	RELA
TYK2	STAT1
TYK2	STAT3
JUND	CCL3
NFKB1	CCL3
RELA	CCL3
STAT1	CCL3
STAT3	CCL3
TYK2	CCL3
