from	to
EP300	NFKB1
EP300	RELA
EP300	STAT2
EP300	STAT3
EP300	TP53
IFNB1	EP300
IFNB1	JAK1
IFNB1	RELA
IFNB1	STAT1
IFNB1	STAT2
IFNB1	TP53
JAK1	STAT1
JAK1	STAT2
JAK1	STAT3
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT2
NFKB1	STAT3
NFKB1	TP53
RELA	EP300
RELA	NFKB1
RELA	TP53
STAT1	EP300
STAT1	RELA
STAT1	STAT2
STAT1	STAT3
STAT2	EP300
STAT2	JAK1
STAT2	NFKB1
STAT2	STAT1
STAT3	EP300
STAT3	NFKB1
STAT3	RELA
STAT3	STAT1
STAT3	STAT2
TP53	EP300
TP53	NFKB1
TP53	RELA
TP53	STAT1
EP300	CSF1
NFKB1	CSF1
RELA	CSF1
STAT1	CSF1
STAT2	CSF1
TP53	CSF1
