from	to
FOS	JUN
FOS	PTEN
FOS	STAT1
FOS	STAT3
IFNB1	FOS
IFNB1	JAK1
IFNB1	MAPK1
IFNB1	STAT1
IRF7	JUN
IRF7	STAT1
JAK1	MAPK1
JAK1	PTEN
JAK1	PTPN11
JAK1	SRC
JAK1	STAT1
JAK1	STAT3
JAK1	STAT5B
JUN	FOS
JUN	IRF7
JUN	MAPK1
JUN	PTEN
JUN	PTPN11
JUN	STAT3
MAPK1	FOS
MAPK1	JAK1
MAPK1	JUN
MAPK1	PTEN
MAPK1	STAT1
MAPK1	STAT3
MAPK1	STAT5B
PTEN	MAPK1
PTEN	SRC
PTEN	STAT3
PTPN11	IRF7
PTPN11	JAK1
PTPN11	JUN
PTPN11	MAPK1
PTPN11	PTEN
PTPN11	SRC
PTPN11	STAT1
PTPN11	STAT3
PTPN11	STAT5B
SRC	FOS
SRC	JAK1
SRC	JUN
SRC	MAPK1
SRC	PTEN
SRC	PTPN11
SRC	STAT1
SRC	STAT3
SRC	STAT5B
STAT1	FOS
STAT1	IRF7
STAT1	JUN
STAT1	MAPK1
STAT1	STAT3
STAT1	STAT5B
STAT3	FOS
STAT3	JUN
STAT3	MAPK1
STAT3	PTEN
STAT3	PTPN11
STAT3	SRC
STAT3	STAT1
STAT3	STAT5B
STAT5B	FOS
STAT5B	JAK1
STAT5B	MAPK1
FOS	IFNE
IRF7	IFNE
JUN	IFNE
PTEN	IFNE
STAT3	IFNE
STAT5B	IFNE
