from	to
AKT1	EP300
AKT1	JUN
AKT1	MAPK1
AKT1	NFKB1
AKT1	STAT1
AKT1	STAT3
EP300	AKT1
EP300	IRF8
EP300	JUN
EP300	NFKB1
EP300	STAT3
IFNB1	AKT1
IFNB1	EP300
IFNB1	IRF8
IFNB1	JAK1
IFNB1	MAPK1
IFNB1	STAT1
IRF8	EP300
IRF8	JUN
IRF8	NFKB1
JAK1	AKT1
JAK1	MAPK1
JAK1	STAT1
JAK1	STAT3
JUN	EP300
JUN	IRF8
JUN	MAPK1
JUN	STAT3
MAPK1	AKT1
MAPK1	EP300
MAPK1	JAK1
MAPK1	JUN
MAPK1	NFKB1
MAPK1	STAT1
MAPK1	STAT3
NFKB1	AKT1
NFKB1	IRF8
NFKB1	JUN
NFKB1	MAPK1
NFKB1	STAT1
NFKB1	STAT3
STAT1	AKT1
STAT1	EP300
STAT1	IRF8
STAT1	JUN
STAT1	MAPK1
STAT1	STAT3
STAT3	AKT1
STAT3	EP300
STAT3	JUN
STAT3	MAPK1
STAT3	NFKB1
STAT3	STAT1
AKT1	IL16
EP300	IL16
IRF8	IL16
JUN	IL16
NFKB1	IL16
STAT3	IL16
