from	to
FOS	JUN
FOS	SP1
FOS	STAT1
FOS	STAT3
IFNB1	FOS
IFNB1	JAK1
IFNB1	MAPK1
IFNB1	RELA
IFNB1	SP1
IFNB1	STAT1
JAK1	MAPK1
JAK1	STAT1
JAK1	STAT3
JUN	FOS
JUN	MAPK1
JUN	SP1
JUN	STAT3
MAPK1	FOS
MAPK1	JAK1
MAPK1	JUN
MAPK1	RELA
MAPK1	SP1
MAPK1	STAT1
MAPK1	STAT3
RELA	FOS
RELA	JUN
RELA	MAPK1
RELA	SP1
SP1	FOS
SP1	JUN
SP1	STAT1
SP1	STAT3
STAT1	FOS
STAT1	JUN
STAT1	MAPK1
STAT1	RELA
STAT1	SP1
STAT1	STAT3
STAT3	FOS
STAT3	JUN
STAT3	MAPK1
STAT3	RELA
STAT3	SP1
STAT3	STAT1
FOS	IL1A
JUN	IL1A
RELA	IL1A
SP1	IL1A
STAT1	IL1A
STAT3	IL1A
