from	to
FOS	JUN
FOS	NFKB1
FOS	STAT1
FOS	STAT3
IFNB1	FOS
IFNB1	JAK1
IFNB1	MAPK1
IFNB1	RELA
IFNB1	STAT1
IFNB1	STAT2
JAK1	MAPK1
JAK1	STAT1
JAK1	STAT2
JAK1	STAT3
JUN	FOS
JUN	MAPK1
JUN	STAT3
MAPK1	FOS
MAPK1	JAK1
MAPK1	JUN
MAPK1	NFKB1
MAPK1	RELA
MAPK1	STAT1
MAPK1	STAT2
MAPK1	STAT3
NFKB1	FOS
NFKB1	JUN
NFKB1	MAPK1
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT2
NFKB1	STAT3
RELA	FOS
RELA	JUN
RELA	MAPK1
RELA	NFKB1
STAT1	FOS
STAT1	JUN
STAT1	MAPK1
STAT1	RELA
STAT1	STAT2
STAT1	STAT3
STAT2	JAK1
STAT2	NFKB1
STAT2	STAT1
STAT3	FOS
STAT3	JUN
STAT3	MAPK1
STAT3	NFKB1
STAT3	RELA
STAT3	STAT1
STAT3	STAT2
FOS	IL1RN
IFNB1	IL1RN
JUN	IL1RN
NFKB1	IL1RN
RELA	IL1RN
STAT2	IL1RN
