from	to
IFNB1	IRF1
IFNB1	JAK1
IFNB1	MAPK1
IFNB1	RELA
IFNB1	RELB
IFNB1	SOCS3
IFNB1	SP1
IFNB1	STAT1
IRF1	SP1
JAK1	MAPK1
JAK1	SOCS3
JAK1	STAT1
JAK1	STAT3
MAPK1	JAK1
MAPK1	RELA
MAPK1	SOCS3
MAPK1	SP1
MAPK1	STAT1
MAPK1	STAT3
RELA	IRF1
RELA	MAPK1
RELA	RELB
RELA	SOCS3
RELA	SP1
RELB	SP1
RELB	STAT3
SOCS3	JAK1
SOCS3	SP1
SOCS3	STAT1
SOCS3	STAT3
SP1	IRF1
SP1	RELB
SP1	SOCS3
SP1	STAT1
SP1	STAT3
STAT1	IRF1
STAT1	MAPK1
STAT1	RELA
STAT1	SOCS3
STAT1	SP1
STAT1	STAT3
STAT3	IRF1
STAT3	MAPK1
STAT3	RELA
STAT3	RELB
STAT3	SOCS3
STAT3	SP1
STAT3	STAT1
IFNB1	PDGFC
IRF1	PDGFC
RELB	PDGFC
SOCS3	PDGFC
SP1	PDGFC
STAT3	PDGFC
