from	to
EP300	MYC
EP300	NFKB1
EP300	RELA
EP300	STAT3
EP300	TP53
IFNB1	EP300
IFNB1	JAK1
IFNB1	MAPK1
IFNB1	RELA
IFNB1	STAT1
IFNB1	TP53
JAK1	MAPK1
JAK1	MYC
JAK1	STAT1
JAK1	STAT3
MAPK1	EP300
MAPK1	JAK1
MAPK1	MYC
MAPK1	NFKB1
MAPK1	RELA
MAPK1	STAT1
MAPK1	STAT3
MAPK1	TP53
MYC	EP300
MYC	NFKB1
MYC	RELA
MYC	TP53
NFKB1	MAPK1
NFKB1	MYC
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT3
NFKB1	TP53
RELA	EP300
RELA	MAPK1
RELA	MYC
RELA	NFKB1
RELA	TP53
STAT1	EP300
STAT1	MAPK1
STAT1	MYC
STAT1	RELA
STAT1	STAT3
STAT3	EP300
STAT3	MAPK1
STAT3	MYC
STAT3	NFKB1
STAT3	RELA
STAT3	STAT1
TP53	EP300
TP53	MAPK1
TP53	NFKB1
TP53	RELA
TP53	STAT1
MYC	TNFSF13
NFKB1	TNFSF13
RELA	TNFSF13
STAT1	TNFSF13
STAT3	TNFSF13
TP53	TNFSF13
