from	to
EP300	ESR1
EP300	JUN
EP300	MAPK8
EP300	MYC
EP300	RELA
EP300	STAT2
ESR1	EP300
ESR1	JAK1
ESR1	JAK2
ESR1	JUN
ESR1	MAPK1
ESR1	MYC
ESR1	RELA
IFNG	EP300
IFNG	ESR1
IFNG	JAK1
IFNG	JAK2
IFNG	JUN
IFNG	MAPK1
IFNG	MAPK8
IFNG	RELA
IFNG	STAT2
JAK1	ESR1
JAK1	JAK2
JAK1	MAPK1
JAK1	MAPK8
JAK1	MYC
JAK1	STAT2
JAK2	ESR1
JAK2	JAK1
JAK2	MAPK1
JAK2	MAPK8
JAK2	MYC
JAK2	RELA
JAK2	STAT2
JUN	EP300
JUN	ESR1
JUN	MAPK1
JUN	MYC
MAPK1	EP300
MAPK1	ESR1
MAPK1	JAK1
MAPK1	JAK2
MAPK1	JUN
MAPK1	MAPK8
MAPK1	MYC
MAPK1	RELA
MAPK1	STAT2
MAPK8	EP300
MAPK8	ESR1
MAPK8	JAK1
MAPK8	JAK2
MAPK8	JUN
MAPK8	MAPK1
MAPK8	MYC
MAPK8	RELA
MAPK8	STAT2
MYC	EP300
MYC	RELA
RELA	EP300
RELA	JUN
RELA	MAPK1
RELA	MYC
STAT2	EP300
STAT2	JAK1
STAT2	JAK2
STAT2	MYC
EP300	BMP6
ESR1	BMP6
JUN	BMP6
MYC	BMP6
RELA	BMP6
STAT2	BMP6
