from	to
CTNNB1	EP300
CTNNB1	JUN
CTNNB1	STAT3
EP300	CTNNB1
EP300	JUN
EP300	MAPK8
EP300	RUNX1
EP300	STAT3
EP300	STAT6
EP300	YY1
IFNG	CTNNB1
IFNG	EP300
IFNG	JAK2
IFNG	JUN
IFNG	MAPK8
IFNG	RUNX1
IFNG	STAT3
IFNG	STAT6
IFNG	YY1
JAK2	MAPK8
JAK2	STAT3
JAK2	STAT6
JUN	EP300
JUN	RUNX1
JUN	STAT3
JUN	STAT6
MAPK8	CTNNB1
MAPK8	EP300
MAPK8	JAK2
MAPK8	JUN
MAPK8	RUNX1
MAPK8	STAT3
MAPK8	STAT6
RUNX1	CTNNB1
RUNX1	MAPK8
STAT3	CTNNB1
STAT3	EP300
STAT3	JUN
STAT3	MAPK8
STAT3	STAT6
STAT6	EP300
STAT6	JUN
STAT6	STAT3
YY1	EP300
YY1	JUN
CTNNB1	CCL24
JUN	CCL24
RUNX1	CCL24
STAT3	CCL24
STAT6	CCL24
YY1	CCL24
