from	to
ATM	JAK2
ATM	NFKB1
ATM	STAT3
EGFR	ATM
EGFR	ESR1
EGFR	JAK2
EGFR	MAPK1
EGFR	NFKB1
EGFR	STAT3
ESR1	EGFR
ESR1	JAK2
ESR1	MAPK1
ESR1	NFKB1
ESR1	STAT3
ESR1	YBX1
IFNG	ATM
IFNG	EGFR
IFNG	ESR1
IFNG	JAK2
IFNG	MAPK1
IFNG	NFKB1
IFNG	SPI1
IFNG	STAT3
IFNG	YBX1
JAK2	EGFR
JAK2	ESR1
JAK2	MAPK1
JAK2	NFKB1
JAK2	STAT3
MAPK1	EGFR
MAPK1	ESR1
MAPK1	JAK2
MAPK1	NFKB1
MAPK1	SPI1
MAPK1	STAT3
MAPK1	YBX1
NFKB1	EGFR
NFKB1	MAPK1
NFKB1	SPI1
NFKB1	STAT3
STAT3	EGFR
STAT3	ESR1
STAT3	MAPK1
STAT3	NFKB1
STAT3	SPI1
YBX1	EGFR
YBX1	ESR1
ATM	CKLF
ESR1	CKLF
NFKB1	CKLF
SPI1	CKLF
STAT3	CKLF
YBX1	CKLF
