from	to
CTNNB1	RELA
CTNNB1	STAT3
CTNNB1	TP53
CTNNB1	YBX1
IFNG	CTNNB1
IFNG	JAK1
IFNG	JAK2
IFNG	MAPK8
IFNG	RELA
IFNG	STAT2
IFNG	STAT3
IFNG	TP53
IFNG	YBX1
JAK1	JAK2
JAK1	MAPK8
JAK1	STAT2
JAK1	STAT3
JAK2	JAK1
JAK2	MAPK8
JAK2	RELA
JAK2	STAT2
JAK2	STAT3
MAPK8	CTNNB1
MAPK8	JAK1
MAPK8	JAK2
MAPK8	RELA
MAPK8	STAT2
MAPK8	STAT3
MAPK8	TP53
RELA	CTNNB1
RELA	TP53
STAT2	JAK1
STAT2	JAK2
STAT3	CTNNB1
STAT3	MAPK8
STAT3	RELA
STAT3	STAT2
TP53	CTNNB1
TP53	MAPK8
TP53	RELA
TP53	YBX1
YBX1	CTNNB1
YBX1	TP53
CTNNB1	CMTM7
RELA	CMTM7
STAT2	CMTM7
STAT3	CMTM7
TP53	CMTM7
YBX1	CMTM7
