from	to
CTNNB1	ETS1
CTNNB1	MAPK1
CTNNB1	SP1
CTNNB1	STAT3
CTNNB1	TP53
ETS1	CTNNB1
ETS1	SP1
IFNG	CTNNB1
IFNG	ETS1
IFNG	IRF6
IFNG	JAK2
IFNG	MAPK1
IFNG	MAPK8
IFNG	SP1
IFNG	STAT3
IFNG	STAT6
IFNG	TP53
IRF6	JAK2
IRF6	MAPK1
JAK2	MAPK1
JAK2	MAPK8
JAK2	STAT3
JAK2	STAT6
MAPK1	CTNNB1
MAPK1	ETS1
MAPK1	JAK2
MAPK1	MAPK8
MAPK1	SP1
MAPK1	STAT3
MAPK1	STAT6
MAPK1	TP53
MAPK8	CTNNB1
MAPK8	ETS1
MAPK8	JAK2
MAPK8	MAPK1
MAPK8	SP1
MAPK8	STAT3
MAPK8	STAT6
MAPK8	TP53
SP1	CTNNB1
SP1	ETS1
SP1	STAT3
SP1	STAT6
SP1	TP53
STAT3	CTNNB1
STAT3	MAPK1
STAT3	MAPK8
STAT3	SP1
STAT3	STAT6
STAT6	ETS1
STAT6	SP1
STAT6	STAT3
STAT6	TP53
TP53	CTNNB1
TP53	ETS1
TP53	MAPK1
TP53	MAPK8
TP53	SP1
TP53	STAT6
CTNNB1	GDF11
ETS1	GDF11
IRF6	GDF11
SP1	GDF11
STAT3	GDF11
TP53	GDF11
