from	to
CAMK2G	CREB1
CAMK2G	JAK2
CAMK2G	PTEN
CAMK2G	STAT1
CREB1	RELA
CREB1	TP53
IFNG	CAMK2G
IFNG	CREB1
IFNG	IRF3
IFNG	JAK2
IFNG	MAPK8
IFNG	RELA
IFNG	STAT1
IFNG	TP53
IRF3	RELA
IRF3	STAT1
IRF3	TP53
JAK2	CAMK2G
JAK2	LCK
JAK2	MAPK8
JAK2	PTEN
JAK2	RELA
JAK2	STAT1
LCK	JAK2
LCK	MAPK8
LCK	PTEN
LCK	RELA
LCK	STAT1
LCK	TP53
MAPK8	CREB1
MAPK8	IRF3
MAPK8	JAK2
MAPK8	LCK
MAPK8	PTEN
MAPK8	RELA
MAPK8	STAT1
MAPK8	TP53
PTEN	CAMK2G
PTEN	CREB1
PTEN	JAK2
PTEN	LCK
PTEN	TP53
RELA	CREB1
RELA	IRF3
RELA	PTEN
RELA	TP53
STAT1	CAMK2G
STAT1	IRF3
STAT1	RELA
TP53	IRF3
TP53	LCK
TP53	MAPK8
TP53	PTEN
TP53	RELA
TP53	STAT1
CREB1	IFNA21
IRF3	IFNA21
PTEN	IFNA21
RELA	IFNA21
STAT1	IFNA21
TP53	IFNA21
