from	to
EP300	JUN
EP300	NFKB1
EP300	SPI1
EP300	STAT3
EP300	STAT6
ETS1	EP300
ETS1	JUN
ETS1	NFKB1
ETS1	SPI1
IFNG	EP300
IFNG	ETS1
IFNG	JAK2
IFNG	JUN
IFNG	NFKB1
IFNG	SPI1
IFNG	STAT3
IFNG	STAT6
JAK2	NFKB1
JAK2	STAT3
JAK2	STAT6
JUN	EP300
JUN	ETS1
JUN	SPI1
JUN	STAT3
JUN	STAT6
NFKB1	ETS1
NFKB1	JUN
NFKB1	SPI1
NFKB1	STAT3
SPI1	EP300
SPI1	ETS1
STAT3	EP300
STAT3	JUN
STAT3	NFKB1
STAT3	SPI1
STAT3	STAT6
STAT6	EP300
STAT6	ETS1
STAT6	JUN
STAT6	NFKB1
STAT6	STAT3
EP300	IL16
ETS1	IL16
JUN	IL16
NFKB1	IL16
SPI1	IL16
STAT3	IL16
