from	to
EP300	HIF1A
EP300	NFKB1
EP300	SP1
EP300	STAT3
EP300	TP53
HIF1A	EP300
HIF1A	JAK2
HIF1A	MAPK1
HIF1A	NFKB1
HIF1A	SP1
HIF1A	TP53
IFNG	EP300
IFNG	JAK2
IFNG	MAPK1
IFNG	NFKB1
IFNG	SP1
IFNG	STAT3
IFNG	TP53
JAK2	HIF1A
JAK2	MAPK1
JAK2	NFKB1
JAK2	STAT3
MAPK1	EP300
MAPK1	HIF1A
MAPK1	JAK2
MAPK1	NFKB1
MAPK1	SP1
MAPK1	STAT3
MAPK1	TP53
NFKB1	MAPK1
NFKB1	STAT3
NFKB1	TP53
SP1	EP300
SP1	HIF1A
SP1	NFKB1
SP1	STAT3
SP1	TP53
STAT3	EP300
STAT3	HIF1A
STAT3	MAPK1
STAT3	NFKB1
STAT3	SP1
TP53	EP300
TP53	HIF1A
TP53	MAPK1
TP53	NFKB1
TP53	SP1
EP300	MIF
HIF1A	MIF
NFKB1	MIF
SP1	MIF
STAT3	MIF
TP53	MIF
